Enter the initial guess
a=x0 = 4.0000x1 = 2.0000
Enter the degree of accuracy
x0         x1         x2         error
4.0000     2.0000     9.0000     0.7778
2.0000     9.0000     4.0000     1.2500
9.0000     4.0000     5.1111     0.2174
4.0000     5.1111     5.9565     0.1419
5.1111     5.9565     5.7225     0.0409
5.9565     5.7225     5.7411     0.0032
5.7225     5.7411     5.7417     0.0001
5.7411     5.7417     5.7417     0.0000
5.7417     5.7417     5.7417     0.0000

The root of the equation is 5.7417
